Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Acromegaly,Enlarged hands and feet,"Enlarged facial features, including the facial bones, lips, nose and tongue","Coarse, oily, thickened skin",Excessive sweating and body odor,Small outgrowths of skin tissue (skin tags),Fatigue and joint or muscle weakness,Pain and limited joint mobility,"A deepened, husky voice due to enlarged vocal cords and sinuses",Severe snoring due to obstruction of the upper airway,Vision problems,"Headaches, which may be persistent or severe",Menstrual cycle irregularities in women,Erectile dysfunction in men,Loss of interest in sex,,,
Frozen shoulder,"Freezing stage. Any movement of your shoulder causes pain, and your shoulder's range of motion starts to become limited.","Frozen stage. Pain may begin to diminish during this stage. However, your shoulder becomes stiffer, and using it becomes more difficult.",Thawing stage. The range of motion in your shoulder begins to improve.,,,,,,,,,,,,,,
Appendicitis,Sudden pain that begins on the right side of the lower abdomen,Sudden pain that begins around your navel and often shifts to your lower right abdomen,"Pain that worsens if you cough, walk or make other jarring movements",Nausea and vomiting,Loss of appetite,Low-grade fever that may worsen as the illness progresses,Constipation or diarrhea,Abdominal bloating,Flatulence,,,,,,,,
Hair loss,"Gradual thinning on top of head. This is the most common type of hair loss, affecting people as they age. In men, hair often begins to recede at the hairline on the forehead. Women typically have a broadening of the part in their hair. An increasingly common hair loss pattern in older women is a receding hairline (frontal fibrosing alopecia).","Circular or patchy bald spots. Some people lose hair in circular or patchy bald spots on the scalp, beard or eyebrows. Your skin may become itchy or painful before the hair falls out.",Sudden loosening of hair. A physical or emotional shock can cause hair to loosen. Handfuls of hair may come out when combing or washing your hair or even after gentle tugging. This type of hair loss usually causes overall hair thinning but is temporary.,"Full-body hair loss. Some conditions and medical treatments, such as chemotherapy for cancer, can result in the loss of hair all over your body. The hair usually grows back.","Patches of scaling that spread over the scalp. This is a sign of ringworm. It may be accompanied by broken hair, redness, swelling and, at times, oozing.",,,,,,,,,,,,
Amyotrophic lateral sclerosis (ALS),Difficulty walking or doing normal daily activities,Tripping and falling,"Weakness in your leg, feet or ankles",Hand weakness or clumsiness,Slurred speech or trouble swallowing,"Muscle cramps and twitching in your arms, shoulders and tongue","Inappropriate crying, laughing or yawning",Cognitive and behavioral changes,,,,,,,,,
Compulsive gambling,"Being preoccupied with gambling, such as constantly planning how to get more gambling money",Needing to gamble with increasing amounts of money to get the same thrill,"Trying to control, cut back or stop gambling, without success",Feeling restless or irritable when you try to cut down on gambling,"Gambling to escape problems or relieve feelings of helplessness, guilt, anxiety or depression",Trying to get back lost money by gambling more (chasing losses),Lying to family members or others to hide the extent of your gambling,"Jeopardizing or losing important relationships, a job, or school or work opportunities because of gambling",Resorting to theft or fraud to get gambling money,Asking others to bail you out of financial trouble because you gambled money away,,,,,,,
Vitamin deficiency anemia,Fatigue,Shortness of breath,Dizziness,Pale or yellowish skin,Irregular heartbeats,Weight loss,Numbness or tingling in your hands and feet,Muscle weakness,Personality changes,Unsteady movements,Mental confusion or forgetfulness,,,,,,
Acne,Whiteheads (closed plugged pores),Blackheads (open plugged pores),"Small red, tender bumps (papules)","Pimples (pustules), which are papules with pus at their tips ","Large, solid, painful lumps under the skin (nodules)","Painful, pus-filled lumps under the skin (cystic lesions)",,,,,,,,,,,
Acne,Faintness,Difficulty breathing,"Swelling of the eyes, face, lips or tongue",Tightness of the throat,"Large, solid, painful lumps under the skin (nodules)","Painful, pus-filled lumps under the skin (cystic lesions)",,,,,,,,,,,
Childhood schizophrenia,Problems with thinking and reasoning,Bizarre ideas or speech,Confusing dreams or television for reality,,,,,,,,,,,,,,
Childhood schizophrenia,Withdrawal from friends and family,Trouble sleeping,"Lack of motivation — for example, showing up as a drop in performance at school","Not meeting daily expectations, such as bathing or dressing",Bizarre behavior,Violent or aggressive behavior or agitation,Recreational drug or nicotine use,,,,,,,,,,
Childhood schizophrenia,Irritability or depressed mood,"Lack of emotion, or emotions inappropriate for the situation",Strange anxieties and fears,Excessive suspicion of others,Bizarre behavior,Violent or aggressive behavior or agitation,Recreational drug or nicotine use,,,,,,,,,,
Childhood schizophrenia,"Delusions. These are false beliefs that are not based in reality. For example, you think that you're being harmed or harassed; that certain gestures or comments are directed at you; that you have exceptional ability or fame; that another person is in love with you; or that a major catastrophe is about to occur. Delusions occur in most people with schizophrenia.","Hallucinations. These usually involve seeing or hearing things that don't exist. Yet for the person with schizophrenia, hallucinations have the full force and impact of a normal experience. Hallucinations can be in any of the senses, but hearing voices is the most common hallucination.","Disorganized thinking. Disorganized thinking is inferred from disorganized speech. Effective communication can be impaired, and answers to questions may be partially or completely unrelated. Rarely, speech may include putting together meaningless words that can't be understood, sometimes known as word salad.","Extremely disorganized or abnormal motor behavior. This may show in several ways, from childlike silliness to unpredictable agitation. Behavior is not focused on a goal, which makes it hard to do tasks. Behavior can include resistance to instructions, inappropriate or bizarre posture, a complete lack of response, or useless and excessive movement.","Negative symptoms. This refers to reduced or lack of ability to function normally. For example, the person may neglect personal hygiene or appear to lack emotion — doesn't make eye contact, doesn't change facial expressions, speaks in a monotone, or doesn't add hand or head movements that normally occur when speaking. Also, the person may avoid people and activities or lack the ability to experience pleasure.",Violent or aggressive behavior or agitation,Recreational drug or nicotine use,,,,,,,,,,
Childhood schizophrenia,Less likely to have delusions,More likely to have visual hallucinations,"Disorganized thinking. Disorganized thinking is inferred from disorganized speech. Effective communication can be impaired, and answers to questions may be partially or completely unrelated. Rarely, speech may include putting together meaningless words that can't be understood, sometimes known as word salad.","Extremely disorganized or abnormal motor behavior. This may show in several ways, from childlike silliness to unpredictable agitation. Behavior is not focused on a goal, which makes it hard to do tasks. Behavior can include resistance to instructions, inappropriate or bizarre posture, a complete lack of response, or useless and excessive movement.","Negative symptoms. This refers to reduced or lack of ability to function normally. For example, the person may neglect personal hygiene or appear to lack emotion — doesn't make eye contact, doesn't change facial expressions, speaks in a monotone, or doesn't add hand or head movements that normally occur when speaking. Also, the person may avoid people and activities or lack the ability to experience pleasure.",Violent or aggressive behavior or agitation,Recreational drug or nicotine use,,,,,,,,,,
Adult attention-deficit/hyperactivity disorder (ADHD),Impulsiveness,Disorganization and problems prioritizing,Poor time management skills,Problems focusing on a task,Trouble multitasking,Excessive activity or restlessness,Poor planning,Low frustration tolerance,Frequent mood swings,Problems following through and completing tasks,Hot temper,Trouble coping with stress,,,,,
Atrioventricular canal defect,Difficulty breathing or rapid breathing,Wheezing,Fatigue,Lack of appetite,Poor weight gain,Pale skin color,Bluish discoloration of the lips and skin,Excessive sweating,Irregular or rapid heartbeat,"Swelling in the legs, ankles and feet (edema)",,,,,,,
Atrioventricular canal defect,Abnormal heartbeat (arrhythmia),Shortness of breath,High blood pressure in the lungs (pulmonary hypertension),Heart valve problems,Heart failure,Pale skin color,Bluish discoloration of the lips and skin,Excessive sweating,Irregular or rapid heartbeat,"Swelling in the legs, ankles and feet (edema)",,,,,,,
Angina,Dizziness,Fatigue,Nausea,Shortness of breath,Sweating,,,,,,,,,,,,
Angina,"Develops when your heart works harder, such as when you exercise or climb stairs",Can usually be predicted and the pain is usually similar to previous types of chest pain you've had,"Lasts a short time, perhaps five minutes or less",Disappears sooner if you rest or use your angina medication,Sweating,,,,,,,,,,,,
Angina,Occurs even at rest,Is a change in your usual pattern of angina,Is unexpected,"Is usually more severe and lasts longer than stable angina, maybe 30 minutes or longer",May not disappear with rest or use of angina medication,Might signal a heart attack,,,,,,,,,,,
Angina,Usually happens when you're resting,Is often severe,May be relieved by angina medication,"Is usually more severe and lasts longer than stable angina, maybe 30 minutes or longer",May not disappear with rest or use of angina medication,Might signal a heart attack,,,,,,,,,,,
Angina,Nausea,Shortness of breath,Abdominal pain,"Discomfort in the neck, jaw or back",Stabbing pain instead of chest pressure,Might signal a heart attack,,,,,,,,,,,
ARDS,Severe shortness of breath,Labored and unusually rapid breathing,Low blood pressure,Confusion and extreme tiredness,,,,,,,,,,,,,
Acoustic neuroma,"Hearing loss, usually gradually worsening over months to years — although in rare cases sudden — and occurring on only one side or more severe on one side",Ringing (tinnitus) in the affected ear,Unsteadiness or loss of balance,Dizziness (vertigo),Facial numbness and weakness or loss of muscle movement,,,,,,,,,,,,
Antisocial personality disorder,Disregard for right and wrong,Persistent lying or deceit to exploit others,"Being callous, cynical and disrespectful of others",Using charm or wit to manipulate others for personal gain or personal pleasure,"Arrogance, a sense of superiority and being extremely opinionated","Recurring problems with the law, including criminal behavior",Repeatedly violating the rights of others through intimidation and dishonesty,Impulsiveness or failure to plan ahead,"Hostility, significant irritability, agitation, aggression or violence",Lack of empathy for others and lack of remorse about harming others,Unnecessary risk-taking or dangerous behavior with no regard for the safety of self or others,Poor or abusive relationships,Failure to consider the negative consequences of behavior or learn from them,Being consistently irresponsible and repeatedly failing to fulfill work or financial obligations,,,
Antisocial personality disorder,Aggression toward people and animals,Destruction of property,Deceitfulness,Theft,Serious violation of rules,"Recurring problems with the law, including criminal behavior",Repeatedly violating the rights of others through intimidation and dishonesty,Impulsiveness or failure to plan ahead,"Hostility, significant irritability, agitation, aggression or violence",Lack of empathy for others and lack of remorse about harming others,Unnecessary risk-taking or dangerous behavior with no regard for the safety of self or others,Poor or abusive relationships,Failure to consider the negative consequences of behavior or learn from them,Being consistently irresponsible and repeatedly failing to fulfill work or financial obligations,,,
Social anxiety disorder (social phobia),Fear of situations in which you may be judged negatively,Worry about embarrassing or humiliating yourself,Intense fear of interacting or talking with strangers,Fear that others will notice that you look anxious,"Fear of physical symptoms that may cause you embarrassment, such as blushing, sweating, trembling or having a shaky voice",Avoidance of doing things or speaking to people out of fear of embarrassment,Avoidance of situations where you might be the center of attention,Anxiety in anticipation of a feared activity or event,Intense fear or anxiety during social situations,Analysis of your performance and identification of flaws in your interactions after a social situation,Expectation of the worst possible consequences from a negative experience during a social situation,,,,,,
Social anxiety disorder (social phobia),Blushing,Fast heartbeat,Trembling,Sweating,Upset stomach or nausea,Trouble catching your breath,Dizziness or lightheadedness,Feeling that your mind has gone blank,Muscle tension,Analysis of your performance and identification of flaws in your interactions after a social situation,Expectation of the worst possible consequences from a negative experience during a social situation,,,,,,
Social anxiety disorder (social phobia),Interacting with unfamiliar people or strangers,Attending parties or social gatherings,Going to work or school,Starting conversations,Making eye contact,Dating,Entering a room in which people are already seated,Returning items to a store,Eating in front of others,Using a public restroom,Expectation of the worst possible consequences from a negative experience during a social situation,,,,,,
Coarctation of the aorta,Pale skin,Irritability,Heavy sweating,Difficulty breathing,Difficulty feeding,,,,,,,,,,,,
Coarctation of the aorta,High blood pressure,Headaches,Muscle weakness,Leg cramps or cold feet,Nosebleeds,Chest pain,,,,,,,,,,,
Coarctation of the aorta,Severe chest pain,Fainting,Sudden shortness of breath,Unexplained high blood pressure,Nosebleeds,Chest pain,,,,,,,,,,,
Hives and angioedema,Reddish,Itchy ranging from mild to intense,"Round, oval or worm-shaped",As small as a pea or as large as a dinner plate,,,,,,,,,,,,,
Hives and angioedema,Welts that form in minutes to hours,"Swelling and redness, especially around the eyes, cheeks or lips",Pain or warmth in the affected areas,As small as a pea or as large as a dinner plate,,,,,,,,,,,,,
Gastroesophageal reflux disease (GERD),"A burning sensation in your chest (heartburn), usually after eating, which might be worse at night",Chest pain,Difficulty swallowing,Regurgitation of food or sour liquid,Sensation of a lump in your throat,,,,,,,,,,,,
Gastroesophageal reflux disease (GERD),Chronic cough,Laryngitis,New or worsening asthma,Disrupted sleep,Sensation of a lump in your throat,,,,,,,,,,,,
Gastroesophageal reflux disease (GERD),Experience severe or frequent GERD symptoms,Take over-the-counter medications for heartburn more than twice a week,New or worsening asthma,Disrupted sleep,Sensation of a lump in your throat,,,,,,,,,,,,
Gastroesophageal reflux disease (GERD),Gastroesophageal reflux disease (GERD) care at Mayo Clinic,GERD: Can certain medications make it worse?,New or worsening asthma,Disrupted sleep,Sensation of a lump in your throat,,,,,,,,,,,,
Castleman disease,Fever,Unintended weight loss,Fatigue,Night sweats,Nausea,Enlarged liver or spleen,,,,,,,,,,,
Attention-deficit/hyperactivity disorder (ADHD) in children,Predominantly inattentive. The majority of symptoms fall under inattention.,Predominantly hyperactive/impulsive. The majority of symptoms are hyperactive and impulsive.,Combined. This is a mix of inattentive symptoms and hyperactive/impulsive symptoms.,,,,,,,,,,,,,,
Attention-deficit/hyperactivity disorder (ADHD) in children,Fail to pay close attention to details or make careless mistakes in schoolwork,Have trouble staying focused in tasks or play,"Appear not to listen, even when spoken to directly",Have difficulty following through on instructions and fail to finish schoolwork or chores,Have trouble organizing tasks and activities,"Avoid or dislike tasks that require focused mental effort, such as homework","Lose items needed for tasks or activities, for example, toys, school assignments, pencils",Be easily distracted,"Forget to do some daily activities, such as forgetting to do chores",,,,,,,,
Attention-deficit/hyperactivity disorder (ADHD) in children,"Fidget with or tap his or her hands or feet, or squirm in the seat",Have difficulty staying seated in the classroom or in other situations,"Be on the go, in constant motion",Run around or climb in situations when it's not appropriate,Have trouble playing or doing an activity quietly,Talk too much,"Blurt out answers, interrupting the questioner",Have difficulty waiting for his or her turn,"Interrupt or intrude on others' conversations, games or activities",,,,,,,,
Milk allergy,Hives,Wheezing,Itching or tingling feeling around the lips or mouth,"Swelling of the lips, tongue or throat",Coughing or shortness of breath,Vomiting,,,,,,,,,,,
Milk allergy,"Loose stools or diarrhea, which may contain blood",Abdominal cramps,Runny nose,Watery eyes,"Colic, in babies",Vomiting,,,,,,,,,,,
Milk allergy,"Constriction of airways, including a swollen throat that makes it difficult to breathe",Facial flushing,Itching,"Shock, with a marked drop in blood pressure","Colic, in babies",Vomiting,,,,,,,,,,,
Primary aldosteronism,Muscle cramps,Weakness,Fatigue,Headache,Excessive thirst,A frequent need to urinate,,,,,,,,,,,
Primary aldosteronism,"Moderate to severe high blood pressure, especially if you need many medications to control your blood pressure",High blood pressure and a family history of primary aldosteronism,High blood pressure and a family history of high blood pressure or stroke at age 40 or younger,High blood pressure and a growth on one of your adrenal glands (found in an imaging test done for another reason),High blood pressure and a low potassium level,High blood pressure and obstructive sleep apnea,,,,,,,,,,,
Broken arm,"Severe pain, which might increase with movement",Swelling,Bruising,"Deformity, such as a bent arm or wrist",Inability to turn your arm from palm up to palm down or vice versa,,,,,,,,,,,,
Psoriatic arthritis,"Swollen fingers and toes. Psoriatic arthritis can cause a painful, sausage-like swelling of your fingers and toes. You may also develop swelling and deformities in your hands and feet before having significant joint symptoms.",Foot pain. Psoriatic arthritis can also cause pain at the points where tendons and ligaments attach to your bones — especially at the back of your heel (Achilles tendinitis) or in the sole of your foot (plantar fasciitis).,Lower back pain. Some people develop a condition called spondylitis as a result of psoriatic arthritis. Spondylitis mainly causes inflammation of the joints between the vertebrae of your spine and in the joints between your spine and pelvis (sacroiliitis).,,,,,,,,,,,,,,
Autoimmune hepatitis,Fatigue,Abdominal discomfort,Yellowing of the skin and whites of the eyes (jaundice),An enlarged liver,Abnormal blood vessels on the skin (spider angiomas),Skin rashes,Joint pains,Loss of menstrual periods,,,,,,,,,
Agoraphobia,Leaving home alone,Crowds or waiting in line,"Enclosed spaces, such as movie theaters, elevators or small stores","Open spaces, such as parking lots, bridges or malls","Using public transportation, such as a bus, plane or train",,,,,,,,,,,,
Agoraphobia,Fear or anxiety almost always results from exposure to the situation,Your fear or anxiety is out of proportion to the actual danger of the situation,"You avoid the situation, you need a companion to go with you, or you endure the situation but are extremely distressed","You experience significant distress or problems with social situations, work or other areas in your life because of the fear, anxiety or avoidance",Your phobia and avoidance usually lasts six months or longer,,,,,,,,,,,,
Agoraphobia,Rapid heart rate,Trouble breathing or a feeling of choking,Chest pain or pressure,Lightheadedness or dizziness,"Feeling shaky, numb or tingling",Excessive sweating,Sudden flushing or chills,Upset stomach or diarrhea,Feeling a loss of control,Fear of dying,,,,,,,
Arthritis,Pain,Stiffness,Swelling,Redness,Decreased range of motion,,,,,,,,,,,,
Acute kidney failure,"Decreased urine output, although occasionally urine output remains normal","Fluid retention, causing swelling in your legs, ankles or feet",Shortness of breath,Fatigue,Confusion,Nausea,Weakness,Irregular heartbeat,Chest pain or pressure,Seizures or coma in severe cases,,,,,,,
Acute liver failure,Yellowing of your skin and eyeballs (jaundice),Pain in your upper right abdomen,Abdominal swelling (ascites),Nausea,Vomiting,A general sense of feeling unwell (malaise),Disorientation or confusion,Sleepiness,Breath may have a musty or sweet odor,Tremors,,,,,,,
Pet allergy,Sneezing,Runny nose,"Itchy, red or watery eyes",Nasal congestion,"Itchy nose, roof of mouth or throat",Postnasal drip,Cough,Facial pressure and pain,Frequent awakening,"Swollen, blue-colored skin under your eyes","In a child, frequent upward rubbing of the nose",,,,,,
Pet allergy,Difficulty breathing,Chest tightness or pain,Audible whistling or wheezing sound when exhaling,"Trouble sleeping caused by shortness of breath, coughing or wheezing","Itchy nose, roof of mouth or throat",Postnasal drip,Cough,Facial pressure and pain,Frequent awakening,"Swollen, blue-colored skin under your eyes","In a child, frequent upward rubbing of the nose",,,,,,
Pet allergy,"Raised, red patches of skin (hives)",Eczema,Itchy skin,"Trouble sleeping caused by shortness of breath, coughing or wheezing","Itchy nose, roof of mouth or throat",Postnasal drip,Cough,Facial pressure and pain,Frequent awakening,"Swollen, blue-colored skin under your eyes","In a child, frequent upward rubbing of the nose",,,,,,
Amyloidosis,Swelling of your ankles and legs,Severe fatigue and weakness,Shortness of breath with minimal exertion,Unable to lie flat in bed due to shortness of breath,"Numbness, tingling or pain in your hands or feet, especially pain in your wrist (carpal tunnel syndrome)","Diarrhea, possibly with blood, or constipation",Unintentional weight loss of more than 10 pounds (4.5 kilograms),"An enlarged tongue, which sometimes looks rippled around its edge","Skin changes, such as thickening or easy bruising, and purplish patches around the eyes",An irregular heartbeat,Difficulty swallowing,,,,,,
Colon cancer,"A persistent change in your bowel habits, including diarrhea or constipation or a change in the consistency of your stool",Rectal bleeding or blood in your stool,"Persistent abdominal discomfort, such as cramps, gas or pain",A feeling that your bowel doesn't empty completely,Weakness or fatigue,Unexplained weight loss,,,,,,,,,,,
Astigmatism,Blurred or distorted vision,Eyestrain or discomfort,Headaches,Difficulty with night vision,Squinting,,,,,,,,,,,,
Astigmatism,During the newborn period,At well-child visits until school age,"During school years, every one to two years at well-child visits, at the eye doctor, or through school or public screenings",Difficulty with night vision,Squinting,,,,,,,,,,,,
Anal fissure,"Pain, sometimes severe, during bowel movements",Pain after bowel movements that can last up to several hours,Bright red blood on the stool or toilet paper after a bowel movement,A visible crack in the skin around the anus,A small lump or skin tag on the skin near the anal fissure,,,,,,,,,,,,
Dry macular degeneration,"Visual distortions, such as straight lines seeming bent",Reduced central vision in one or both eyes,The need for brighter light when reading or doing close-up work,"Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant",Increased blurriness of printed words,Decreased intensity or brightness of colors,Difficulty recognizing faces,A well-defined blurry spot or blind spot in your field of vision,,,,,,,,,
Dry macular degeneration,You notice changes in your central vision,Your ability to see colors and fine detail becomes impaired,The need for brighter light when reading or doing close-up work,"Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant",Increased blurriness of printed words,Decreased intensity or brightness of colors,Difficulty recognizing faces,A well-defined blurry spot or blind spot in your field of vision,,,,,,,,,
Age spots (liver spots),"Are flat, oval areas of increased pigmentation",Are usually tan to dark brown,"Occur on skin that has had the most sun exposure over the years, such as the backs of hands, tops of feet, face, shoulders and upper back",Range from freckle size to about 1/2 inch (13 millimeters) across,"Can group together, making them more noticeable",,,,,,,,,,,,
Age spots (liver spots),Is black,Is increasing in size,Has an irregular border,Has an unusual combination of colors,Is bleeding,,,,,,,,,,,,
Acute lymphocytic leukemia,Bleeding from the gums,Bone pain,Fever,Frequent infections,Frequent or severe nosebleeds,"Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin",Pale skin,Shortness of breath,"Weakness, fatigue or a general decrease in energy",,,,,,,,
Food allergy,Tingling or itching in the mouth,"Hives, itching or eczema","Swelling of the lips, face, tongue and throat or other parts of the body","Wheezing, nasal congestion or trouble breathing","Abdominal pain, diarrhea, nausea or vomiting","Dizziness, lightheadedness or fainting",,,,,,,,,,,
Food allergy,Constriction and tightening of the airways,A swollen throat or the sensation of a lump in your throat that makes it difficult to breathe,Shock with a severe drop in blood pressure,Rapid pulse,"Dizziness, lightheadedness or loss of consciousness","Dizziness, lightheadedness or fainting",,,,,,,,,,,
Food allergy,Constriction of airways that makes it difficult to breathe,Shock with a severe drop in blood pressure,Rapid pulse,Dizziness or lightheadedness,"Dizziness, lightheadedness or loss of consciousness","Dizziness, lightheadedness or fainting",,,,,,,,,,,
Food allergy,Food allergy or intolerance?,Shock with a severe drop in blood pressure,Rapid pulse,Dizziness or lightheadedness,"Dizziness, lightheadedness or loss of consciousness","Dizziness, lightheadedness or fainting",,,,,,,,,,,
Sprained ankle,"Pain, especially when you bear weight on the affected foot",Tenderness when you touch the ankle,Swelling,Bruising,Restricted range of motion,Instability in the ankle,Popping sensation or sound at the time of injury,,,,,,,,,,
Gout,"Intense joint pain. Gout usually affects the big toe, but it can occur in any joint. Other commonly affected joints include the ankles, knees, elbows, wrists and fingers. The pain is likely to be most severe within the first four to 12 hours after it begins.","Lingering discomfort. After the most severe pain subsides, some joint discomfort may last from a few days to a few weeks. Later attacks are likely to last longer and affect more joints.","Inflammation and redness. The affected joint or joints become swollen, tender, warm and red.","Limited range of motion. As gout progresses, you may not be able to move your joints normally.",,,,,,,,,,,,,
Vasculitis,Fever,Headache,Fatigue,Weight loss,General aches and pains,,,,,,,,,,,,
Vasculitis,"Digestive system. If your stomach or intestines are affected, you may experience pain after eating. Ulcers and perforations are possible and may result in blood in the stool.","Ears. Dizziness, ringing in the ears and abrupt hearing loss may occur.",Eyes. Vasculitis can make your eyes look red and itch or burn. Giant cell arteritis can cause double vision and temporary or permanent blindness in one or both eyes. This is sometimes the first sign of the disease.,Hands or feet. Some types of vasculitis can cause numbness or weakness in a hand or foot. The palms of the hands and soles of the feet might swell or harden.,Lungs. You may develop shortness of breath or even cough up blood if vasculitis affects your lungs.,Skin. Bleeding under the skin can show up as red spots. Vasculitis can also cause lumps or open sores on your skin.,,,,,,,,,,,
Thoracic aortic aneurysm,Tenderness or pain in the chest,Back pain,Hoarseness,Cough,Shortness of breath,,,,,,,,,,,,
Thoracic aortic aneurysm,"Sharp, sudden pain in the upper back that radiates downward","Pain in your chest, jaw, neck or arms",Difficulty breathing,Cough,Shortness of breath,,,,,,,,,,,,
Vaginal atrophy,Vaginal dryness,Vaginal burning,Vaginal discharge,Genital itching,Burning with urination,Urgency with urination,Frequent urination,Recurrent urinary tract infections,Urinary incontinence,Light bleeding after intercourse,Discomfort with intercourse,Decreased vaginal lubrication during sexual activity,Shortening and tightening of the vaginal canal,,,,
Ascariasis,Persistent cough,Shortness of breath,Wheezing,,,,,,,,,,,,,,
Ascariasis,Vague abdominal pain,Nausea and vomiting,Diarrhea or bloody stools,,,,,,,,,,,,,,
Ascariasis,Severe abdominal pain,Fatigue,Vomiting,Weight loss or malnutrition,A worm in your vomit or stool,,,,,,,,,,,,
Ascariasis,Severe abdominal pain,Fatigue,Vomiting,Weight loss or malnutrition,A worm in your vomit or stool,,,,,,,,,,,,
Brain aneurysm,"Sudden, extremely severe headache",Nausea and vomiting,Stiff neck,Blurred or double vision,Sensitivity to light,Seizure,A drooping eyelid,Loss of consciousness,Confusion,,,,,,,,
Brain aneurysm,"Sudden, extremely severe headache",Nausea and vomiting,Stiff neck,Blurred or double vision,Sensitivity to light,Seizure,A drooping eyelid,Loss of consciousness,Confusion,,,,,,,,
Brain aneurysm,Pain above and behind one eye,A dilated pupil,Change in vision or double vision,Numbness of one side of the face,Sensitivity to light,Seizure,A drooping eyelid,Loss of consciousness,Confusion,,,,,,,,
